No.,Name,Age,Birth Date YYYY/MM/DD,Race,Gender,Fmr. Department,Department,Rank,Pol. Skills,Political Affliation,PolAffDetail,Racist?,Belief,Personality / Politics,Backstory,Pic,Notes,Index,Unique,X,Y,Z
1,Dipoly Diffraction,43,1072/01/25,Earth Pony,Male,Off. Vig. Adm. Mat.,Off. Pol. Ana. Res.,Captain,,Modernist,Vigilant Institutionalist and Modernizer,No,Discordant-Leaning,"Mild mannered bureaucrat with ambitious goals, and a very loyal stance towards those who he works with",,,x,"-2,0,2",Unique,-2,0,2
2,Eastern Depot,29,1086/05/03,Earth Pony,Female,Off. Pol. Ana. Res.,Off. Vig. Adm. Mat.,Policymaker,,Liberal,Sweethavenism ,No,Discordant,"A stotic and polite mare with a sharp analystical mind, looking to how best to increase the state of living for all",,,x,"-2,-2,1",Unique,-2,-2,1
3,Electric Voltation,45,1070/09/03,Pegasus,Female,Off. Int. Ord. Out. Coo,Off. Int. Dis.,Governor,,Liberal,Neoliberalism,Slightly,Discordant-Leaning,"A shy, older mare who does her best to  make up for her younger years of inactivity through the considerable political power she now holds",,,x,"-1,-1,0",Unique,-1,-1,0
4,Ernomous Executive,63,1052/07/21,Earth Pony,Female,Off Pub. Out. Inf.,Off. Pro. Adm. Mat.,Director,,Modernist,Crystallian Centralism,Mildly,Diarchist-Leaning,"A older and impolite mare, that has often seen flaws in other ponies work, seeking to take use of the chaos sowed in the VIgilants... to centralize power",,,,"1,0,1",Unique,1,0,1
5,Euler Graph,31,1084/03/02,Earth Pony,Female,Off. Stat. Anal.,Off. Pol. Ana. Res.,Lieutanent,,Liberal,Harmonist Liberalism,No,Discordant,"A young naive mare that believes that their faith was simply misplaced, and should be reoriented around the actual faith from the Harmonists",,,,"-2,-2,0",Unique,-2,-2,0
6,Exegesis Rue,25,1090/03/05,Earth Pony,Female,Dep. Int. Coord.,Off Pub. Out. Inf.,Lieutanent,,Purist,Calvinism with Catholic Characteristics,Mildly,Diarchist,"A young, cheerful mare trying to do what she considers to be right, and help others along the way",,,,"0,0,-2",Unique,0,0,-2
7,Exoteric Routine,34,1081/05/31,Earth Pony,Male,Dep. Inf. Sec.,Off Pub. Out. Inf.,Policymaker,,Modernist,Moralism - Regulation,Slightly,Diarchist-Leaning,"A sly, sleek stallion that seeks to gain more power for himself and secure his own strengh in these trying times",,,,"-1,2,-1",Unique,-1,2,-1
8,Hagiographic Skytender,28,1087/04/04,Earth Pony,Female,Off. Cri. Mit.,Off. Cri. Mit.,Private First Class,,Liberal,Anti-elitism,Mildly,Diarchist-Leaning,"A modest and simple mare hailing from the east, Hagiographic places the blame for the Battle on the lecherous, blood sucking nobles. Who weren't humble enough to not sucuumb",,,,"-2,-1,0",Unique,-2,-1,0
9,Hesychasm Terraces,49,1066/10/03,Earth Pony,Female,Dep. Mot. For.,Off. Inv. Dev,Permanent Secretary,,Radical,Accelerationist Radicalism,Very,Schizophrenic,A prepertually angry mare that disdains the general structure of cooperation between the Orders. And hopding that true independence may be reached for the Vigilants,,,,"2,1,2",Unique,2,1,2
10,Hypertrophy Litigation,44,1071/03/10,Earth Pony,Female,Off. Law. Enf.,Off. Rep,Inspectorate-Commisar,,Radical,Populist Radicalism - Man I hate the elites but more Radical,Mildly,Diarchist,"A charismatic and often talkatiave mare, Hypertrophy seeks to invigorate ponies to do good against their enemies!",,,,"1,2,-1",Unique,1,2,-1
11,Inked Tear,41,1074/01/23,Pegasus,Female,Off. Cri. Mit.,Off. Cri. Mit.,Captain,,Modernist,Modernist with Radical characteristics,Slightly,Diarchist-Leaning,"Dangerously emotional and seductive mare, who holds onto the Order as emotional connections and family",,,,"-1,1,1",Unique,-1,1,1
12,Inquistional Protractor,33,1082/06/15,Earth Pony,Female,Off. Arc. Mat.,Off. Pro. Adm. Mat.,Lieutanent,,Radical,Agarianism with Equalist characteristics,No,Discordant,Ambitious mare with idealistic goals of fighting for the common peasant and farmer,,,,"-2,2,2",Unique,-2,2,2
13,Little Mar,34,1081/10/1,Pegasus,Male,Off. Vig. Adm. Mat.,Off. Pol. Ana. Res.,Captain,,Liberal,Neo-Harmonist Modernization,No,Discordant-Leaning,"A simple, homesteading pegasus who has turned to politics to try and help his fellow Vigilants in establishing a more modern order in Harmony",,,,"-2,0,1",Unique,-2,0,1
14,Long Lime,36,1079/03/10,Pegasus,Male,Off. Pro. Adm. Mat.,Off. Pro. Adm. Mat.,Provincial Legislator,,Liberal,Long Lime-ism,No,Diarchist,"A stallion with a single goal in his eyes, that to improve the world. Long Lime is a passionate orator, with this one goal with mind",,,,"-2,-1,-1",Unique,-2,-1,-1
15,Mandarin Land,52,1063/04/20,Earth Pony,Male,Off. Vig. Adm. Mat.,Off. Vig. Adm. Mat.,Permanent Secretary,,Radical,Anti-Radiant Radicalism,Very,Discordant-Leaning,"A hurt and betrayed stallion, Mandarin Land projects the hurt his heart feels for the rest of the Vigilants against the Radiants.",,,,"2,1,0",Unique,2,1,0
16,Mass Chess,53,1062/06/28,Earth Pony,Female,Off. Int. Dis.,Off. Int. Dis.,Director,,Modernist,Discordant - Modernist,Slightly,Discordant-Leaning,"A kind mare in charge of the internal discipline Office, this mare believes in a change towards kindness make result the best benefits for the Vigilants",,,,"-2,-1,2",Unique,-2,-1,2
17,Medical Atlas,64,1051/11/20,Earth Pony,Male,Off. Cri. Mit.,Internal Ethics Committee,Captain,,Liberal,Jacobin with Crystallian-Secularist-Ataturk Characteristics,No,Discordant,"A shady and well meaning stallion who aims to ensure that the Vigilants have the capacity to march into the future, and secure power to do good.",,,,"-2,-2,2",Unique,-2,-2,2
18,Medicinal Skies,34,1081/10/30,Earth Pony,Female,Off. Int. Ord. Out. Coo,Internal Ethics Committee,Permanent Secretary,,Liberal,Conservative Liberalism,Slightly,Diarchist,"A hopeful mare, that wishes the Vigilants do not repeat their sins. But carefully. Fanaticism should not destroy the new Liberal movement.",,,,"-2,2,-1",Unique,-2,2,-1
19,Mellifluous Crux,32,1083/12/12,Earth Pony,Female,Off. Stat. Anal.,Off. Cri. Mit.,Local Commissioner,,Purist,Paternalistic Vigilance,Mildly,Diarchist-Leaning,"The failure of the Vigilants drove Melliflous into action. Clearly, the failure of them came from the lack of public support, which came from lack of trust... which requries action to fix",,,,"1,-1,0",Unique,1,-1,0
20,Millet Tissue,42,1073/10/01,Pegasus,Female,Dep. Exp. For.,Dep. Exp. For.,Captain,,Modernist,Technoliberal-Rationalism,Slightly,Schizophrenic,"Technology is the foundation of progress, and if it can be incoporated to bring about a liberal world, then it should be used. Millet sees it as an inevitablity that the Vigilants should embrace",,,,"0,-1,2",Unique,0,-1,2
21,Narthex Quango,43,1072/04/13,Earth Pony,Female,Off. Cri. Mit.,Off. Rep,Lieutanent,,Liberal,Anti-Corruption Fixers,Mildly,Diarchist,"Having been deported and cursesd to spend most of her days in the backwater of the New Saints region, Narthex has been a firm believer in honesty, and never stopped beliving in the good the Vigilants could do",,,,"1,-2,1",Unique,1,-2,1
22,Numenist Bumbledom,46,1069/03/31,Earth Pony,Female,Off. Inv. Dev,Off. Stat. Anal.,Policymaker,,Liberal,Discordant Liberal Reconcialism,No,Discordant,"Numenist is a grandmother in a mother's body, she serves to bring harmony to her family, her family she has known so far... the Vigilants",,,,"-2,-2,-2",Unique,-2,-2,-2
23,Offset Hamlet,32,1083/05/20,Earth Pony,Female,Dep. New. Sec.,Internal Ethics Committee,Policy Advisor,,Liberal,Unitarianist with Democratic Charatieristics,No,Discordant-Leaning,"A young, polite mare with ideals that cannot be comprimised, and without a moral compass that will stop her from doing what is right",,,,"-2,-1,1",Unique,-2,-1,1
24,Ornate Cosmogony,29,1086/07/02,Earth Pony,Female,Off Pub. Out. Inf.,Off Pub. Out. Inf.,Regional Commissioner,,Liberal,Paternalistic Liberalism,No,Diarchist,"Ponies know what is good, but it is not always they can know what is the maximum good. Ornate is a honest, down to earth mare that believes in the simple facts - a vanguard of liberalism, is needed",,,,"-2,-2,-1",Unique,-2,-2,-1
25,Paper Trail,40,1075/10/06,Earth Pony,Female,Off. Vig. Adm. Mat.,Standing Coordinating Committee,Departmental Legislator,,Modernist,Chinese Communist Policies with Vigilant Characteristics,Slightly,Schizophrenic,"A dangerous and smart mare, who wishes to see Equestria and the Vigilants transformed into the superpower that it should be. ",,,,"-2,1,2",Unique,-2,1,2
26,Penned Marks,33,1082/06/30,Earth Pony,Female,Off. Vig. Adm. Mat.,Off. Pol. Ana. Res.,Captain,,Purist,Iconalast Purism,Mildly,Diarchist,"A cheerful mare, and a fiery orator. This mare believes in the truth that mortals cannot imitate the true form of the Saints, and doing so is heresy of the highest order",,,,"1,-1,-2",Unique,1,-1,-2
